device_id,device_name,manufacturer,device_age_years,usage_hours_per_week,maintenance_frequency_per_year,last_maintenance_gap_days,error_logs_past_month,environment,criticality_level,spare_parts_availability,failures_past_year,manufacturer_support_rating,failure_within_year
173,ECG,Siemens,2,54,12,42,9,Diagnostic Center,Medium,Moderate,0,3,0
174,Infusion Pump,Medtronic,5,64,6,89,7,Lab,High,Moderate,0,4,0
175,CT Scanner,Fujifilm,5,83,4,126,8,ICU,High,Good,0,2,1
176,MRI Scanner,GE Healthcare,4,69,6,59,1,Operating Room,High,Poor,0,5,0
177,Ventilator,Philips,2,76,6,82,9,Ward,Low,Poor,1,3,0
178,MRI Scanner,Fujifilm,3,47,4,113,6,Operating Room,Medium,Moderate,0,3,0
179,CT Scanner,Mindray,3,54,4,95,6,Diagnostic Center,Medium,Moderate,0,2,0
180,ECG,GE Healthcare,8,65,0,358,21,Operating Room,High,Poor,0,4,1
181,Ventilator,Mindray,5,57,6,99,7,Ward,High,Poor,0,2,1
182,Ultrasound,Fujifilm,5,31,4,96,5,Lab,Medium,Moderate,1,2,0
183,CT Scanner,GE Healthcare,7,44,6,55,12,Ward,High,Good,0,3,0
184,Ventilator,GE Healthcare,6,65,6,75,8,Ward,Medium,Moderate,0,3,0
185,MRI Scanner,Medtronic,5,42,4,84,8,ICU,Medium,Good,0,2,0
186,Ultrasound,Medtronic,6,23,12,25,5,Ward,Medium,Good,0,2,0
187,MRI Scanner,Mindray,6,81,6,91,4,Ward,High,Poor,0,3,0
188,CT Scanner,Mindray,3,65,4,104,7,Ward,High,Moderate,0,1,1
189,Patient Monitor,Siemens,6,41,4,104,7,ICU,Medium,Good,0,4,0
190,Ultrasound,Mindray,7,81,2,196,13,Operating Room,High,Poor,0,2,0
191,ECG,GE Healthcare,8,55,2,172,12,Ward,Low,Good,0,5,1
192,CT Scanner,Mindray,7,71,6,96,6,ICU,High,Moderate,1,1,1
193,Ventilator,Siemens,6,68,2,208,14,Ward,Medium,Good,0,5,1
194,ECG,Siemens,6,55,1,404,19,Lab,Medium,Moderate,0,3,1
195,ECG,Philips,9,89,12,21,8,Diagnostic Center,Medium,Good,1,3,0
196,Patient Monitor,Siemens,7,18,2,192,12,Diagnostic Center,Low,Moderate,0,4,0
197,MRI Scanner,Canon Medical,9,74,12,57,8,Ward,Medium,Moderate,0,4,0
198,X-Ray,Mindray,2,57,1,373,16,ICU,Low,Good,0,1,1
199,MRI Scanner,Philips,8,55,4,104,8,Ward,Medium,Poor,0,4,0
200,Ultrasound,GE Healthcare,2,34,4,105,5,ICU,Medium,Poor,0,3,0
201,X-Ray,Mindray,9,68,6,51,12,ICU,High,Good,0,1,0
202,Infusion Pump,Siemens,8,48,4,129,9,ICU,Medium,Good,0,4,0
203,Ultrasound,Canon Medical,7,66,4,111,12,ICU,Low,Good,0,2,1
204,Patient Monitor,GE Healthcare,4,67,1,366,17,Ward,Medium,Moderate,0,4,1
205,Ultrasound,Mindray,3,73,12,35,4,Lab,High,Good,0,1,0
206,Ventilator,Fujifilm,5,61,12,23,5,Diagnostic Center,Medium,Moderate,0,2,0
207,Patient Monitor,GE Healthcare,5,53,12,21,5,Lab,Medium,Poor,0,4,0
208,CT Scanner,Siemens,14,82,6,73,13,Operating Room,High,Poor,0,5,1
209,ECG,Mindray,3,62,6,50,5,Diagnostic Center,Low,Poor,0,3,0
210,ECG,Mindray,12,41,6,54,10,ICU,Medium,Poor,0,2,1
211,X-Ray,Canon Medical,6,50,2,195,10,ICU,Medium,Moderate,0,2,1
212,Infusion Pump,GE Healthcare,4,33,12,26,4,Diagnostic Center,High,Poor,0,4,0
213,ECG,GE Healthcare,6,70,4,99,10,Lab,Medium,Good,0,3,0
214,Infusion Pump,Siemens,9,34,2,203,6,Operating Room,High,Good,0,4,1
215,MRI Scanner,GE Healthcare,7,45,1,379,19,Ward,High,Good,0,5,1
216,X-Ray,Siemens,4,66,12,39,8,Ward,High,Moderate,0,3,0
217,Infusion Pump,Siemens,4,73,6,97,13,ICU,High,Poor,0,4,1
218,Patient Monitor,Medtronic,9,42,4,94,7,Operating Room,Medium,Moderate,1,3,0
219,Infusion Pump,Mindray,2,57,12,55,7,Ward,High,Poor,0,2,0
220,ECG,Siemens,6,58,4,129,10,ICU,Medium,Good,0,4,0
221,Ventilator,Mindray,5,61,4,130,5,Diagnostic Center,High,Poor,0,3,0
222,Infusion Pump,Canon Medical,7,36,1,403,21,ICU,Medium,Moderate,1,2,1
223,CT Scanner,GE Healthcare,7,80,4,124,6,Ward,Medium,Poor,0,3,0
224,ECG,GE Healthcare,9,67,12,26,7,Operating Room,Medium,Moderate,0,3,0
225,X-Ray,Mindray,3,75,4,117,10,Diagnostic Center,High,Poor,0,3,1
226,X-Ray,Medtronic,3,67,12,57,6,Ward,High,Poor,0,4,0
227,CT Scanner,Mindray,11,52,2,205,10,Ward,High,Moderate,1,3,1
228,Infusion Pump,Fujifilm,9,59,6,64,10,Diagnostic Center,Medium,Poor,0,2,1
229,X-Ray,Medtronic,4,40,2,199,12,Operating Room,Medium,Moderate,0,3,1
230,X-Ray,Fujifilm,5,69,6,63,6,Ward,Medium,Moderate,0,2,0
231,MRI Scanner,Siemens,5,78,0,377,19,ICU,High,Poor,0,3,1
232,Infusion Pump,Medtronic,5,35,6,77,11,Operating Room,Low,Good,0,4,0
233,MRI Scanner,Philips,5,62,0,358,18,Diagnostic Center,Medium,Good,0,3,1
234,CT Scanner,Philips,13,77,6,78,16,Diagnostic Center,Low,Poor,0,4,1
235,CT Scanner,Mindray,7,56,4,105,9,Diagnostic Center,Low,Good,0,1,1
236,ECG,Mindray,5,103,6,86,12,Ward,Medium,Poor,0,1,1
237,MRI Scanner,Mindray,7,56,12,34,4,Ward,High,Good,0,3,0
238,ECG,Philips,6,77,4,117,8,Ward,Medium,Poor,0,2,1
239,Infusion Pump,Canon Medical,7,88,6,72,3,ICU,Medium,Moderate,0,2,0
240,MRI Scanner,Fujifilm,2,65,6,91,10,ICU,High,Poor,0,3,0
241,Patient Monitor,GE Healthcare,3,67,4,113,7,ICU,Low,Good,0,4,0
242,X-Ray,Philips,5,69,4,84,7,Operating Room,Medium,Moderate,0,4,0
243,Ultrasound,GE Healthcare,2,75,4,117,10,Lab,High,Good,0,4,0
244,X-Ray,Canon Medical,4,59,6,86,6,Ward,High,Poor,0,4,0
245,Patient Monitor,Siemens,6,88,4,125,12,ICU,High,Good,0,3,1
246,MRI Scanner,Canon Medical,6,67,4,82,4,Lab,High,Good,0,4,0
247,Ultrasound,GE Healthcare,10,50,4,124,5,Lab,Medium,Moderate,0,4,0
248,Ultrasound,Siemens,6,69,4,111,10,Diagnostic Center,High,Moderate,0,4,0
249,MRI Scanner,Philips,8,69,2,202,14,Diagnostic Center,Low,Good,0,3,1
250,Ultrasound,Mindray,5,60,4,96,7,Lab,High,Moderate,0,3,0
251,Patient Monitor,Medtronic,6,58,4,99,12,Ward,High,Moderate,0,4,1
252,X-Ray,Canon Medical,6,42,6,84,11,Diagnostic Center,High,Good,0,4,0
253,X-Ray,Siemens,4,63,12,32,2,ICU,High,Good,0,3,0
254,X-Ray,Fujifilm,3,62,1,362,13,Operating Room,High,Moderate,0,2,1
255,Ultrasound,Siemens,4,78,4,87,13,Ward,Medium,Poor,1,3,0
256,Ultrasound,Canon Medical,7,52,12,39,13,Lab,Medium,Moderate,1,4,0
257,X-Ray,GE Healthcare,6,75,6,89,9,ICU,High,Good,0,5,0
258,ECG,Fujifilm,4,49,2,192,8,Lab,High,Poor,0,3,0
259,CT Scanner,Mindray,4,50,4,116,13,ICU,Low,Good,0,3,0
260,CT Scanner,Mindray,4,67,12,66,4,Ward,Medium,Moderate,0,2,0
261,CT Scanner,Siemens,10,67,4,127,12,Operating Room,Medium,Good,0,4,1
262,CT Scanner,Siemens,2,45,1,394,18,Diagnostic Center,High,Good,0,5,1
263,Ultrasound,Canon Medical,9,67,6,90,8,Diagnostic Center,High,Moderate,0,4,0
264,X-Ray,Medtronic,5,47,6,60,9,ICU,Medium,Poor,0,3,0
265,X-Ray,Mindray,5,48,6,52,15,Operating Room,Medium,Poor,0,1,0
266,Infusion Pump,Siemens,10,58,6,76,6,Ward,High,Moderate,0,4,0
267,Ventilator,Medtronic,3,66,4,121,9,Lab,High,Poor,0,3,1
268,Infusion Pump,Canon Medical,6,75,1,382,18,Operating Room,Medium,Moderate,0,3,1
269,X-Ray,Fujifilm,2,49,6,74,4,Ward,High,Good,0,4,0
270,CT Scanner,Siemens,6,58,2,193,11,ICU,High,Poor,0,4,1
271,CT Scanner,Siemens,2,23,6,86,8,Ward,Low,Moderate,0,5,0
272,ECG,GE Healthcare,10,41,1,365,21,Diagnostic Center,High,Poor,0,5,1
273,Ultrasound,Fujifilm,9,70,4,122,13,Diagnostic Center,High,Moderate,0,4,1
274,X-Ray,Siemens,5,81,4,119,10,Ward,Low,Poor,0,5,0
275,Infusion Pump,GE Healthcare,3,78,2,202,7,ICU,High,Good,0,4,0
276,Ultrasound,GE Healthcare,9,53,4,112,12,Ward,High,Good,0,4,1
277,Ventilator,Philips,7,67,4,91,6,Ward,High,Good,0,2,0
278,Ventilator,Philips,5,71,2,196,17,Diagnostic Center,Medium,Good,0,3,1
279,Ventilator,Philips,8,58,12,26,6,Lab,High,Poor,0,4,0
280,Infusion Pump,GE Healthcare,4,56,4,130,11,Diagnostic Center,Medium,Poor,0,4,0
281,ECG,Fujifilm,10,80,4,82,7,Operating Room,High,Good,0,4,0
282,X-Ray,Mindray,3,76,6,80,4,Ward,Low,Poor,0,1,0
283,CT Scanner,GE Healthcare,10,32,6,77,7,Operating Room,Medium,Moderate,0,3,0
284,X-Ray,GE Healthcare,8,43,6,60,6,Lab,Medium,Poor,0,4,0
285,Ventilator,Canon Medical,10,81,2,198,14,Operating Room,Medium,Poor,0,4,1
286,Ultrasound,Philips,3,60,6,76,6,Operating Room,Medium,Moderate,0,3,0
287,X-Ray,Canon Medical,3,59,6,80,12,Lab,High,Good,0,4,0
288,ECG,GE Healthcare,4,35,1,377,20,Lab,Medium,Moderate,0,5,1
289,Infusion Pump,Mindray,5,65,2,174,9,ICU,Medium,Moderate,0,1,1
290,Infusion Pump,GE Healthcare,6,35,2,199,9,Ward,Medium,Moderate,0,3,1
291,ECG,Canon Medical,5,73,4,113,9,Ward,Medium,Poor,0,2,1
292,ECG,Mindray,4,77,12,30,1,Ward,High,Poor,0,1,0
293,Infusion Pump,GE Healthcare,5,48,0,369,15,ICU,Medium,Poor,0,4,1
294,MRI Scanner,Medtronic,5,58,1,400,15,ICU,High,Poor,0,2,1
295,Patient Monitor,Siemens,4,76,12,63,10,ICU,High,Good,0,4,0
296,Infusion Pump,Philips,6,97,2,174,13,ICU,Low,Moderate,0,3,1
297,Infusion Pump,Medtronic,5,91,4,92,7,Lab,Low,Moderate,0,3,0
298,Ventilator,GE Healthcare,8,80,6,73,10,Ward,High,Moderate,1,3,1
299,Infusion Pump,Fujifilm,8,42,12,48,10,ICU,Medium,Good,0,4,0
300,CT Scanner,Philips,9,57,2,204,15,Ward,Low,Poor,0,3,1
301,MRI Scanner,Mindray,4,65,6,60,6,Operating Room,High,Good,0,1,0
302,Infusion Pump,GE Healthcare,3,74,6,93,8,Diagnostic Center,Medium,Moderate,0,4,0
303,Ventilator,Canon Medical,4,74,12,30,6,ICU,High,Moderate,0,3,0
304,Ultrasound,GE Healthcare,4,74,1,390,18,Diagnostic Center,Medium,Moderate,0,5,1
305,Patient Monitor,Canon Medical,6,93,4,95,11,Diagnostic Center,High,Moderate,0,3,0
306,Patient Monitor,GE Healthcare,1,75,6,78,9,Operating Room,High,Poor,1,3,0
307,MRI Scanner,Medtronic,6,57,6,50,7,ICU,Medium,Good,0,2,0
308,Infusion Pump,Canon Medical,4,49,4,95,11,Ward,Low,Good,0,3,0
309,Ventilator,Medtronic,13,86,2,181,17,Lab,High,Good,0,2,1
310,Ultrasound,GE Healthcare,2,71,12,57,2,Operating Room,Medium,Poor,0,3,0
311,Ultrasound,Medtronic,5,60,1,393,18,Diagnostic Center,High,Poor,0,3,1
312,CT Scanner,Mindray,7,70,12,49,8,Lab,Medium,Moderate,0,1,0
313,MRI Scanner,Canon Medical,1,70,4,105,8,Diagnostic Center,High,Poor,0,3,0
314,CT Scanner,Canon Medical,11,69,2,201,13,Lab,High,Moderate,1,3,1
315,Patient Monitor,Canon Medical,7,53,4,86,9,Lab,Medium,Poor,0,4,0
316,X-Ray,GE Healthcare,5,62,12,27,8,ICU,Medium,Good,0,4,0
317,MRI Scanner,Siemens,3,28,4,126,3,Operating Room,High,Good,0,5,0
318,Infusion Pump,Siemens,5,44,2,173,7,Ward,High,Moderate,0,5,0
319,Ultrasound,Medtronic,7,84,4,116,12,ICU,Low,Good,0,3,1
